STATE,SCODE,SFYG,ECOGPCD,ECOVALUE,SURRATIO,STRMFLOW,AGRATE,AGNET,WWSURF,WWADJ,WWWGHT,ENVIND
FL,0,202,1.441,169,3.78745,6302,2.07,1498.196,7492.44,423,110.92,38.10672215
ID,1,94,6.764,119,0.2174,12463,2.43,1477.387,186655.9,0,1.13,95.96262216
IL,2,34,0.52,1078,0.00138,82385637,1.25,5949.076,1061320.56,0,1,90.5638661
MN,3,288,0.27,2509,0.02142,879593,1.48,7032.647,122031.25,0,3.38,72.39158198
WY,4,113,8.126,75,9.02137,527,0.91,235.988,18694.87,0,3.83,64.89654641
AZ,5,79,0,0,0,0,1.47,600.395,0,0,1,0
CO,6,,,,,,1.73,1348.471,,,,
NV,7,,,,,,1.78,168.562,,,,
CA,8,,,,,,2.26,8523.285,,,,
UT,9,,,,,,1.47,298.404,,,,
NM,10,,,,,,2.25,234.87,,,,
AL,11,350,12.88931191,43.04407036,2.984489839,570588.0927,1.63,1066.431,180538.55,0,3.88,63.01531714
KS,12,164,28.31191334,82.8840628,3.125522505,173324.3648,1.73,3144.419,186842.16,0,1.75,72.70209423
TN,13,85,5.975697517,95.34150268,3.266497717,334378.0011,1.66,3289.165,776413.42,0,1,77.49202832
VA,14,264,13.98396184,32.58207186,4.079596403,49425.2301,1.13,520.123,72506.32,0,8.77,52.77974035
