SC,SN,CC,RC,CN,LAKE,YR,POP,USUR,USURL,USAL,UGW,UREC,URES,UIND,UTOT,UPOP,ASUR,ASURL,ASAL,AGW,AREC,ATOT,ISUR,ISURL,ISAL,IGW,IREC,ITOT,PSUR,PSURL,PSAL,PGW,PREC,PTOT,SUR,SURL,SAL,GW,REC,ALL,PGEN,PSALO,PGENO,PTOTO,RN
6,Califor,37,1,Los Angeles Count,0,2010,9818.605,783.45,0,0,629.57,85.47,1458.05,56.12,1498.49,9242.7,29.23,0,0,62.66,6.28,98.17,0,0,0,197.69,15.82,213.51,0,0,1361.26,0.09,0,1361.35,812.68,0,1361.26,890.01,107.57,3171.52,6855.84,1361.26,4485.72,1361.26,CA_Urban
6,Califor,59,1,Orange County,0,2010,3010.232,230.52,0,0,289.03,36.67,540.2,17.82,556.22,2795.88,5.42,0,0,13.02,5.54,23.98,0,0,0,26.59,1.81,28.4,0.16,0,200.65,0,0,200.81,236.1,0,200.65,328.64,44.02,809.41,980.35,200.65,931.67,200.65,CA_Urban
6,Califor,111,1,Ventura County,0,2010,823.318,116.51,0,0,50.42,2.62,165.92,7.1,169.55,771.98,62.41,0,0,163.86,7.16,233.43,0,0,0.03,18.95,0.05,19.03,0,0,293.19,0,0,293.19,178.92,0,293.22,233.23,9.83,715.2,246.17,293.19,194.65,293.19,CA_Urban
6,Califor,65,2,Riverside County,0,2010,2189.641,209.52,0,0,312.82,47.4,566.49,12.05,569.74,2133.77,387.71,0,0,152.31,13.02,553.04,7.35,0,0,5.26,2.68,15.29,0.21,0,0,6.44,0,6.65,604.79,0,0,476.83,63.1,1144.72,4454.26,0,0,0,CA_Basin
6,Califor,71,2,San Bernardino Co,0,2010,2035.21,94.01,0,0,380.96,23.11,496.94,9.26,498.08,2001.73,16.11,0,0,92.82,7.46,116.39,0,0,0,54.64,3.93,58.57,4.09,0,0,11,0,15.09,114.21,0,0,539.42,34.5,688.13,4509.3,0,0,0,CA_Basin
6,Califor,73,2,San Diego County,0,2010,3095.313,455.17,0,0,44.98,30.48,511.97,3.93,530.63,2846.69,134.04,0,0,38.05,13.31,185.4,0.23,0,0,3.31,8.15,11.69,0.01,0,2142.34,0,0,2142.35,589.45,0,2142.34,86.34,51.94,2870.07,15496.96,2142.34,14157.19,2142.34,CA_Basin
6,Califor,25,3,Imperial County,0,2010,174.528,30.57,0,0,2.23,0,32.22,1.75,32.8,156.35,1079.82,0,0,16.46,0,1096.28,0,0,0,7.38,0,7.38,22.5,0,0,0,0,22.5,1132.89,0,0,26.07,0,1158.96,3810.89,0,0,0,CA_Imperial
6,Califor,1,4,Alameda County,0,2010,1510.271,194.39,0,0,25.73,13.47,228.97,19.77,233.59,1448.7,14.37,0,0,13.17,0,27.54,0,0,0,3.58,7.5,11.08,0,0,0,0,0,0,208.76,0,0,42.48,20.97,272.21,0,0,0,0,CA_Other
6,Califor,3,4,Alpine County,0,2010,1.175,0.12,0,0,0.11,0,0.19,0,0.23,0.75,4.23,0,0,0,0,4.23,0,0,0,0.01,0,0.01,0,0,0,0,0,0,4.35,0,0,0.12,0,4.47,0,0,0,0,CA_Other
6,Califor,5,4,Amador County,0,2010,38.091,6.5,0,0,1.66,0,7.59,0.08,8.16,30.21,17.58,0,0,5.66,0,23.24,0.62,0,0,0.35,0,0.97,0,0,0,0,0,0,24.7,0,0,7.67,0,32.37,0,0,0,0,CA_Other
6,Califor,7,4,Butte County,0,2010,220,14.67,0,0,30.71,0,42.84,0.76,45.38,186.2,406.53,0,0,239.93,0,646.46,0.85,0,0,3.41,0,4.26,0,0,0,0.4,0,0.4,422.05,0,0,274.45,0,696.5,69.47,0,0,0,CA_Other
6,Califor,9,4,Calaveras County,0,2010,45.578,9.37,0,0,1.06,0.47,10.12,0,10.9,33.01,10.72,0,0,2.03,0,12.75,0.04,0,0,0.17,0,0.21,0,0,0,0,0,0,20.13,0,0,3.26,0.47,23.86,0,0,0,0,CA_Other
6,Califor,11,4,Colusa County,0,2010,21.419,0.08,0,0,4.31,0,4.13,0.1,4.39,17.94,704.18,0,0,125.09,0,829.27,0,0,0,0.84,0,0.84,0,0,0,0.52,0,0.52,704.26,0,0,130.76,0,835.02,175.65,0,0,0,CA_Other
6,Califor,13,4,Contra Costa Coun,0,2010,1049.025,170.63,0,0,10.26,13.42,191.6,34.02,194.31,1012.98,61.67,0,0,5.74,0,67.41,0,0,0,3.84,36.31,40.15,0,0,49.5,1.09,0,50.59,232.3,0,49.5,20.93,49.73,352.46,3519.66,48.46,422.85,49.19,CA_Other
6,Califor,15,4,Del Norte County,0,2010,28.61,0.26,0,0,3.22,0,2.89,0.03,3.48,20.74,0.47,0,0,9.7,0,10.17,0,0,0,0.02,0,0.02,0,0,0,0,0,0,0.73,0,0,12.94,0,13.67,0,0,0,0,CA_Other
6,Califor,17,4,El Dorado County,0,2010,181.058,37.62,0,0,6.81,1.86,45.48,0.38,46.29,167.56,5.42,0,0,4.93,0,10.35,0.01,0,0,0.94,0,0.95,0,0,0,0,0,0,43.05,0,0,12.68,1.86,57.59,0,0,0,0,CA_Other
6,Califor,19,4,Fresno County,0,2010,930.45,79.52,0,0,186.06,0.42,258.36,12.95,266,825.21,1805.2,0,0,712.83,0,2518.03,0.21,0,0,17.57,0,17.78,0,0,0,0.62,0,0.62,1884.93,0,0,917.08,0.42,2802.43,378.24,0,350.69,0,CA_Other
6,Califor,21,4,Glenn County,0,2010,28.122,0.15,0,0,5,0,4.42,0.03,5.15,18.27,375.38,0,0,225.57,0,600.95,0,0,0,0.53,0,0.53,0,0,0,0,0,0,375.53,0,0,231.1,0,606.63,0,0,0,0,CA_Other
